,id_ads,area_m2,parking,repair,сeiling_height_m,trash_chute,count_rooms,floor,floor_number,house_type,bathroom_combined,bathroom_separate,elevator_passenger,elevator_freight,loggia_count,balcony_count,windows_street,windows_yard,with_child,with_pets,price_deposit,communal,prepayment,period,subway_name,is_washing_machine,is_shower_cabin,is_refrigerator,is_kitchen_furniture,is_internet,is_phone,is_dishwasher,is_air_conditioner,is_tv,is_room_furniture,is_bathtub,isolated_rooms,adjoining_rooms,price_per_month
0,271271157,200.0,5,1,3.0,1,4,5,16,0.18059523191190982,1,0,4,1,0,0,0,0,1,1,500000.0,0.0,1,0,0.006700254505791306,1,1,1,1,1,1,1,1,1,1,1,0,0,500000.0
1,271634126,198.0,5,1,3.5,0,4,5,16,0.04420090375525892,2,1,1,1,0,0,1,1,0,1,500000.0,0.0,1,0,0.006700254505791306,1,1,1,1,1,0,1,1,1,1,1,0,0,500000.0
2,271173086,200.0,5,2,3.2,0,4,5,16,0.15145691580532905,3,0,1,0,0,0,1,1,0,1,500000.0,0.0,1,0,0.006700254505791306,1,1,1,1,1,1,1,1,1,1,1,0,0,500000.0
3,272197456,170.0,5,2,3.2,0,4,5,6,0.15145691580532905,3,0,1,0,0,0,1,1,1,0,400000.0,0.0,1,0,0.006700254505791306,1,1,1,1,1,1,1,1,1,1,1,0,0,400000.0
4,273614615,58.0,3,2,3.9,1,2,12,26,0.338492702435984,2,0,1,1,0,0,1,1,0,0,225000.0,0.0,1,0,0.004155196592738794,1,1,1,1,1,0,1,0,1,1,1,0,0,225000.0
6,273643908,213.0,2,2,3.2,0,5,4,5,0.15145691580532905,2,0,1,0,0,0,1,1,1,1,350000.0,0.0,1,0,0.004155196592738794,1,0,1,1,1,1,1,0,1,1,1,0,0,350000.0
7,274475342,98.0,5,2,3.2,0,3,2,4,0.18059523191190982,1,1,1,0,0,0,0,1,1,1,250000.0,0.0,1,0,0.006700254505791306,1,1,1,1,1,0,1,1,0,1,1,0,0,250000.0
8,273973191,120.0,4,2,3.0,0,3,5,10,0.007219654079883654,1,0,1,0,0,0,1,0,1,0,130000.0,0.0,1,0,0.006700254505791306,1,0,1,1,1,0,1,1,1,0,1,0,0,130000.0
10,271036964,170.0,5,2,3.2,0,4,6,7,0.15145691580532905,3,0,1,0,0,0,1,1,0,1,290000.0,0.0,1,0,0.006700254505791306,1,1,1,1,1,1,1,1,1,1,1,0,0,290000.0
11,273999490,80.0,3,2,2.64,0,3,4,8,0.18874980522515972,1,0,1,0,0,3,1,1,0,0,110000.0,0.0,1,0,0.006700254505791306,1,1,1,1,1,0,0,1,1,1,0,0,0,100000.0
