id,number_of_rooms,metro,apartment_area,parking,repair,windows,child_or_animals,ceiling_height,garbage_chute,house_type,floor,elevator_pass,elevator_gruz,balkon,lodgy,target
271271157,4,1,200,2,4,1,3,3.0,1,9.0,0.625,4,1,0,0,500000
271634126,4,1,198,2,4,3,1,3.5,0,4.0,0.625,1,1,0,0,500000
271173086,4,1,200,2,3,3,1,3.2,0,4.0,0.625,1,0,0,0,500000
272197456,4,1,170,2,3,3,2,3.2,0,4.0,0.33333333333333337,1,0,0,0,400000
273614615,2,1,58,1,3,3,0,3.9,1,10.0,1.0,1,1,0,0,225000
274837728,3,1,92,1,4,1,0,2.76,0,4.0,1.0,1,0,0,0,470000
273643908,5,1,213,1,3,3,3,3.2,0,4.0,0.2,1,0,0,0,350000
274475342,3,1,98,2,3,1,3,3.2,0,9.0,1.0,1,0,0,0,250000
273973191,3,1,120,3,3,2,2,3.0,0,6.0,1.0,1,0,0,0,130000
272900409,4,1,90,3,3,3,1,2.76,1,6.0,1.0,1,0,1,0,210000
271036964,4,1,170,2,3,3,1,3.2,0,4.0,0.2,1,0,0,0,290000
273999490,3,1,80,1,3,3,0,2.76,0,12.0,1.0,1,0,3,0,100000
274017037,3,1,100,1,4,1,3,2.76,0,12.0,1.0,1,0,0,0,200000
273231024,5,1,180,1,4,2,3,2.76,0,9.0,0.5,3,0,0,1,500000
274839211,5,1,222,2,3,1,0,2.76,0,9.0,1.0,1,0,1,0,450000
274767901,5,1,225,1,4,1,0,2.76,1,9.0,1.0,4,0,0,0,450000
274995950,2,1,30,1,3,2,3,2.76,0,4.0,0.5384615384615384,1,0,0,0,120000
274945807,5,1,222,1,4,1,3,2.76,0,4.0,1.0,1,0,1,0,450000
272911145,5,1,150,1,3,1,0,2.76,0,12.0,1.0,1,0,1,0,180000
274748017,5,1,201,1,3,3,3,3.2,0,4.0,0.2,1,0,0,0,190000
273941734,2,1,64,1,3,2,3,2.76,0,4.0,1.0,1,0,0,0,205000
274493570,3,1,112,2,3,3,1,3.2,0,4.0,1.0,1,0,1,0,230000
274849101,4,1,190,1,4,1,0,2.76,0,4.0,0.2,1,0,0,0,590000
223918678,5,1,255,1,3,1,3,2.76,0,9.0,0.2,1,0,0,0,850000
274391259,5,1,186,3,3,3,3,3.3,1,2.0,0.2,1,0,0,0,190000
272945376,3,1,100,1,3,3,3,3.2,0,4.0,1.0,1,0,0,0,200000
272612966,5,1,150,1,3,1,0,2.76,0,4.0,1.0,1,0,1,0,200000
271568490,5,1,140,1,4,2,1,2.76,0,4.0,1.0,1,0,0,0,300000
264664760,3,0,132,1,3,1,3,2.76,0,9.0,1.0,1,0,0,0,400000
228923308,5,1,256,2,4,3,3,3.0,1,4.0,0.4,1,1,0,0,750000
267489303,6,1,380,3,2,3,3,4.0,1,2.0,1.0,1,0,0,0,870000
273353104,3,1,112,2,1,1,0,3.15,1,4.0,0.5,1,0,0,0,350000
273353103,2,1,91,2,1,1,0,3.15,1,4.0,0.33333333333333337,1,0,0,0,400000
268321690,3,1,135,2,4,3,3,2.76,0,4.0,1.0,2,1,0,0,400000
269496185,4,1,190,2,4,3,1,3.2,0,4.0,0.2,1,1,0,0,590000
272188531,2,0,44,1,1,1,0,4.15,1,4.0,0.3846153846153846,1,0,0,0,135000
272727784,3,0,85,1,3,1,3,2.76,0,4.0,0.2,1,0,1,0,150000
267110043,2,1,100,1,1,2,1,3.0,1,4.0,0.33333333333333337,1,1,1,0,320000
265323319,3,1,133,2,1,1,1,3.15,1,4.0,1.0,1,0,0,0,400000
265804792,4,1,210,1,1,3,2,3.8,1,4.0,1.0,1,0,1,0,400000
239000408,4,1,180,1,1,1,3,2.76,1,4.0,0.2,1,0,0,0,450000
271209314,4,1,165,1,1,1,2,3.35,1,4.0,1.0,1,1,0,0,470000
269889430,4,1,190,1,1,1,2,4.05,1,4.0,1.0,1,0,0,0,590000
241704098,4,1,168,1,1,1,1,3.35,1,4.0,0.5,1,1,0,0,600000
239000331,5,1,250,1,1,1,2,2.76,1,4.0,0.2,1,1,0,0,850000
272823500,3,1,85,2,3,1,0,2.76,0,12.0,0.2,1,0,1,0,150000
274402813,3,1,105,2,3,3,3,2.76,0,4.0,0.75,1,0,0,0,195000
270190788,3,1,134,2,3,1,3,2.76,0,9.0,1.0,1,0,1,0,300000
271265359,2,1,60,1,3,3,1,3.2,0,4.0,0.33333333333333337,1,0,0,0,90000
274289253,3,1,85,1,4,1,0,2.76,0,4.0,0.2,1,0,1,0,150000
274150874,5,1,150,1,4,1,0,2.76,0,4.0,1.0,1,0,0,0,250000
274849686,4,1,142,2,3,3,0,3.2,0,4.0,0.2,1,0,0,0,350000
274315381,5,1,222,1,3,2,3,2.76,0,4.0,0.25,1,0,0,1,450000
273779074,2,1,60,1,1,2,3,3.6,0,12.0,1.0,1,0,0,0,120000
274217247,3,1,103,1,1,3,1,3.8,0,12.0,1.0,1,0,0,0,120000
272156997,5,1,170,1,3,1,3,3.2,0,12.0,0.2,1,0,0,0,175000
274617827,5,1,200,1,3,1,3,2.76,0,12.0,0.2,1,0,0,0,190000
274252871,3,1,105,2,1,3,3,3.0,1,9.0,0.75,2,1,0,1,240000
269132104,1,1,60,2,3,1,1,3.0,0,4.0,0.33333333333333337,1,1,0,0,250000
273911217,5,1,155,1,4,2,0,2.76,0,4.0,1.0,1,0,0,0,250000
269716469,3,1,134,2,3,3,3,3.0,1,4.0,1.0,1,1,0,0,300000
274137125,5,0,214,2,4,3,3,2.76,0,4.0,0.5,1,0,0,0,500000
274140104,5,1,204,1,1,1,3,3.2,0,9.0,0.2857142857142857,1,1,0,0,500000
271258034,5,1,180,1,3,1,1,2.76,0,4.0,0.25,1,0,0,1,500000
166833883,6,1,260,1,4,2,3,2.76,0,12.0,0.5,1,1,2,3,590000
273798495,4,1,237,1,4,3,0,2.76,0,9.0,0.6,2,0,0,1,650000
274810876,4,1,215,2,3,1,0,2.76,0,12.0,0.2,1,0,0,0,700000
274199925,3,0,100,1,1,1,1,2.76,0,4.0,1.0,1,0,0,0,115000
274223065,2,1,60,1,4,2,0,2.76,0,4.0,1.0,1,0,0,0,120000
271264562,5,1,170,1,3,3,3,3.2,1,2.0,0.2,1,0,0,0,175000
272632345,3,1,98,1,1,1,0,3.0,1,12.0,0.2,1,0,0,0,185000
274018110,2,1,175,2,1,1,0,3.1,1,4.0,1.0,1,1,0,0,200000
274029603,4,1,180,1,3,3,1,2.76,0,12.0,1.0,1,0,0,0,350000
274548856,4,1,132,2,4,1,3,2.76,0,4.0,0.2,2,2,0,0,350000
271766412,6,1,228,1,3,1,0,2.76,0,4.0,1.0,1,0,1,0,400000
269165004,3,1,92,4,1,1,0,4.2,1,4.0,1.0,1,1,0,0,470000
274105576,5,1,204,2,3,3,3,3.2,0,4.0,0.33333333333333337,1,0,1,0,500000
273785180,4,1,160,1,3,3,3,3.2,0,4.0,0.2,1,0,0,0,650000
273785183,4,1,140,1,3,3,3,3.2,0,4.0,0.2,1,0,0,0,650000
273785185,4,1,140,1,3,3,3,3.2,0,4.0,0.2,1,0,1,1,700000
274528249,1,1,45,1,4,1,0,2.76,0,12.0,0.2,1,0,1,0,120000
274431438,3,1,65,1,3,3,3,3.2,0,4.0,0.2,1,0,0,0,130000
274064272,3,1,87,1,3,3,0,2.76,1,12.0,1.0,1,0,0,0,140000
273078340,3,1,90,1,4,3,3,3.0,1,12.0,1.0,2,0,1,0,145000
274359655,4,1,180,2,3,1,0,2.76,0,12.0,1.0,1,0,0,0,350000
272226556,4,1,180,1,4,1,1,2.76,0,4.0,1.0,1,0,1,0,400000
273114736,4,1,170,1,4,1,3,2.76,0,4.0,1.0,1,0,2,0,650000
274319903,3,1,75,3,2,1,3,2.76,0,12.0,0.2,1,1,0,0,99000
273427928,3,1,87,1,4,2,1,2.76,0,12.0,1.0,1,0,0,0,100000
274296188,3,1,105,3,2,3,1,3.0,1,12.0,0.2,1,0,1,0,180000
272887177,3,1,99,2,1,1,1,3.2,0,12.0,1.0,1,1,0,1,200000
269319175,1,1,60,2,1,1,1,3.5,0,9.0,0.4,2,0,0,0,250000
269687656,4,1,140,1,3,1,0,2.76,0,4.0,1.0,1,0,0,0,280000
274501292,3,0,120,1,4,3,3,2.76,0,4.0,1.0,1,0,0,0,300000
261980888,3,1,133,2,1,1,1,2.8,0,9.0,1.0,2,2,0,0,400000
272567246,4,1,180,1,1,1,3,2.76,0,4.0,1.0,1,0,1,0,400000
274930877,4,1,219,2,1,1,0,2.76,0,9.0,1.0,1,0,0,1,450000
273576298,3,1,130,2,1,1,1,2.76,0,12.0,1.0,1,0,1,0,450000
271108834,5,1,180,2,4,3,1,3.0,1,4.0,0.2,1,0,1,0,500000
256631457,4,1,190,1,1,3,1,3.2,0,12.0,0.2,1,1,1,0,520000
271988698,3,1,174,1,4,3,3,2.76,1,9.0,0.75,4,0,0,0,550000
271305644,6,1,336,1,4,1,0,2.76,0,4.0,0.2,1,0,0,0,590000
271097684,4,1,170,2,4,1,3,2.76,1,9.0,1.0,1,1,1,1,650000
